Case Number,Date,Type,Country,Sex ,Age,Fatal (Y/N)
1924.11.25,1924-11-25,Unprovoked,MEXICO,F,0,Y
1925.01.08,1925-01-08,Unprovoked,CANADA,M,0,N
1925.01.27.R,1925-01-27,Unprovoked,USA,M,0,N
1925.03.12,1925-03-12,Unprovoked,AUSTRALIA,M,16,Y
1925.00.00,1925-04-08,Unprovoked,FIJI,M,0,N
1925.05.00,1925-05-25,Unprovoked,USA,M,0,N
1925.06.15,1925-06-15,Unknown,AUSTRALIA,UNIDENTIFIED,0,UNKNOWN
1925.08.02,1925-08-02,Unprovoked,USA,F,0,N
1925.09.03,1925-09-03,Unprovoked,ENGLAND,M,0,N
1925.09.04,1925-09-04,Provoked,SPAIN,M,0,N
1925.11.22,1925-11-22,Unprovoked,AUSTRALIA,M,55,Y
1925.11.00.b,1925-11-25,Unprovoked,USA,UNIDENTIFIED,0,N
1925.11.00.a,1925-11-25,Unprovoked,USA,M,0,N
1926.01.26,1926-01-26,Unprovoked,SOUTH AFRICA,M,0,N
1926.01.00,1926-01-26,Unprovoked,AUSTRALIA,M,0,N
1926.03.17,1926-03-17,Unprovoked,AUSTRALIA,F,0,Y
1926.04.07,1926-04-07,Unprovoked,USA,F,0,N
1926.00.00.c,1926-04-09,Provoked,NEW ZEALAND,M,0,N
1926.00.00.a,1926-04-09,Unprovoked,SOUTH AFRICA,M,0,UNKNOWN
1926.00.00.b,1926-04-09,Unprovoked,SINGAPORE,F,0,Y
1974.09.07,1974-09-07,Unprovoked,PALESTINE,F,20,N
1926.05.18,1926-05-18,Unprovoked,USA,M,0,Y
1926.07.03,1926-07-03,Unknown,SPAIN,M,0,N
1926.07.08,1926-07-08,Unprovoked,USA,M,15,N
1926.07.12,1926-07-12,Boating,USA,M,0,N
1926.07.23,1926-07-23,Unprovoked,ITALY,M,20,Y
1926.08.24,1926-08-24,Unprovoked,USA,M,18,Y
1926.09.06.R,1926-09-06,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1926.10.23.a,1926-10-23,Sea Disaster,BERMUDA,UNIDENTIFIED,0,N
1926.10.23.b,1926-10-23,Unprovoked,AUSTRALIA,M,17,N
